.	23	137818153	137868580	138039206	139834615	147755836	149398758	164758351	170028126	170538309	172235809	172453192	173596633	180750339	186843705	204932236	212738080	213580048	215651886	221477288	226933196	238386835	254937105	264367605	309424037	320110529	339584389	384771835	425942965	485352713	535036965	614173411	654852621	761854255	871995899	1078775220	1297556420	1779047549	2714620812	
.	24	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	24	143301443	143359005	143548864	145215006	153092851	155194282	170504055	175375617	175817659	177442389	177670661	178946389	185282257	191398581	207876298	215548953	216448184	218570623	224341686	230269746	242761619	259545802	268985493	312968906	324095099	343373990	388805168	429876180	488218430	538702688	617655767	659721345	767507768	877934750	1087604792	1308760123	1793432085	2714620812	
.	25	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	25	143334100	143416321	143657417	145123309	152735266	155803674	172912236	177807366	178331799	179967307	180212797	181674499	189036423	197126536	211927391	219723040	220651619	222873881	228642378	234655284	248544958	264145345	273746646	316743866	328049047	348220554	396076735	437505930	494871438	546339323	624769479	668200331	776560537	886706740	1098181681	1318467218	1809107914	2714620812	
.	26	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	26	143679886	143770660	144031708	145609000	153649036	157617734	174713383	178929785	179410115	180891961	181161673	182874999	191898844	200464071	213770922	221531841	222665125	224993174	230729899	237181455	252545483	268367122	278160664	320837115	332811133	352902371	403576262	444694902	501877367	554531903	633019802	678130618	787232986	897001418	1110769322	1328503968	1826445918	2714620812	
.	27	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	27	146794990	146894993	147177515	148665179	157273665	162392492	179175144	182514993	182941387	184344057	184635808	186623459	195467759	204903732	216377722	224032315	225178055	227538535	233191937	239765138	256649851	272859507	282697703	324122890	336041530	356229526	410539649	450987114	507029527	560851543	639453527	686534639	796266396	906131717	1122799164	1337855681	1843149343	2714620812	
.	28	2	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	
.	28	149798935	149903697	150199684	151637274	160687688	166930360	182343751	184646737	185099591	186496648	186813647	189115399	199581912	209539319	219210285	226699674	227931420	230379125	235993261	242675592	260896766	276482341	286401867	326210777	338513484	358635180	416394007	455979037	510140098	565115746	643239672	692740532	803049226	912684382	1133436031	1345576942	1858145620	2714620812	
